id,node_def_id,tab_id,ctrl_id,tab_sequence,ctrl_sequence,,
1,1,2,1,1,1,LabelCol,DecisionTree
2,1,2,2,1,2,FeaturesCol,DecisionTree
3,1,2,3,1,3,RawPredictionCol,DecisionTree
4,1,2,4,1,4,Seed,DecisionTree
5,1,2,5,1,5,CheckpointInterval,DecisionTree
6,1,2,6,1,6,Impurity,DecisionTree
7,1,2,7,1,7,MaxBins,DecisionTree
8,1,2,8,1,8,MaxDepth,DecisionTree
9,1,2,9,1,9,MinInfoGain,DecisionTree
10,1,2,10,1,10,MinInstancesPerNode,DecisionTree
11,1,2,11,1,11,PredictionCol,DecisionTree
12,1,2,12,1,12,ProbabilityCol,DecisionTree
13,1,2,13,1,13,Thresholds,DecisionTree
14,1,3,197,2,1,executor_cores,
15,1,3,198,2,2,num_executors,
16,1,3,199,2,3,executor_memory,
17,2,2,14,1,1,LabelCol,GBTC
18,2,2,15,1,2,FeaturesCol,GBTC
19,2,2,16,1,3,MaxIter,GBTC
20,2,2,17,1,4,Impurity,GBTC
21,2,2,18,1,5,MaxBins,GBTC
22,2,2,19,1,6,MaxDepth,GBTC
23,2,2,20,1,7,MinInfoGain,GBTC
24,2,2,21,1,8,CheckpointInterval,GBTC
25,2,2,22,1,9,MinInstancesPerNode,GBTC
26,2,2,23,1,10,PredictionCol,GBTC
27,2,2,24,1,11,Seed,GBTC
28,2,2,25,1,12,RawPredictionCol,GBTC
29,2,2,26,1,13,subsamplingRate,GBTC
30,2,2,27,1,14,LossType,GBTC
31,2,2,28,1,15,StepSize,GBTC
32,2,3,197,2,1,executor_cores,
33,2,3,198,2,2,num_executors,
34,2,3,199,2,3,executor_memory,
35,3,2,29,1,1,MaxIter,LogisticRegression
36,3,2,30,1,2,RegParam,LogisticRegression
37,3,2,31,1,3,ElasticNetParam,LogisticRegression
38,3,2,32,1,4,Family,LogisticRegression
39,3,2,33,1,5,LabelCol,LogisticRegression
40,3,2,34,1,6,FeaturesCol,LogisticRegression
41,3,2,35,1,7,FitIntercept,LogisticRegression
42,3,2,36,1,8,Standardization,LogisticRegression
43,3,2,37,1,9,Threshold,LogisticRegression
44,3,2,38,1,10,Tol,LogisticRegression
45,3,2,39,1,11,ProbabilityCol,LogisticRegression
46,3,2,40,1,12,RawPredictionCol,LogisticRegression
47,3,2,41,1,13,PredictionCol,LogisticRegression
48,3,3,197,2,1,executor_cores,
49,3,3,198,2,2,num_executors,
50,3,3,199,2,3,executor_memory,
51,4,2,42,1,1,LabelCol,NaiveBayes
52,4,2,43,1,2,FeaturesCol,NaiveBayes
53,4,2,44,1,3,WeightCol,NaiveBayes
54,4,2,45,1,4,ModelType,NaiveBayes
55,4,2,46,1,5,smothing,NaiveBayes
56,4,2,47,1,6,PredictionCol,NaiveBayes
57,4,2,48,1,7,ProbabilityCol,NaiveBayes
58,4,2,49,1,8,RawPredictionCol,NaiveBayes
59,4,2,50,1,9,Thresholds,NaiveBayes
60,4,3,197,2,1,executor_cores,
61,4,3,198,2,2,num_executors,
62,4,3,199,2,3,executor_memory,
63,5,2,51,1,1,LabelCol,RandomForest
64,5,2,52,1,2,FeaturesCol,RandomForest
65,5,2,53,1,3,NumTrees,RandomForest
66,5,2,54,1,4,Impurity,RandomForest
67,5,2,55,1,5,MaxBins,RandomForest
68,5,2,56,1,6,MaxDepth,RandomForest
69,5,2,57,1,7,MinInfoGain,RandomForest
70,5,2,58,1,8,CheckpointInterval,RandomForest
71,5,2,59,1,9,MinInstancesPerNode,RandomForest
72,5,2,60,1,10,PredictionCol,RandomForest
73,5,2,61,1,11,FeatureSubsetStrategy,RandomForest
74,5,2,62,1,12,ProbabilityCol,RandomForest
75,5,2,63,1,13,Thresholds,RandomForest
76,5,2,64,1,14,Seed,RandomForest
77,5,2,65,1,15,RawPredictionCol,RandomForest
78,5,2,66,1,16,subsamplingRate,RandomForest
79,5,3,197,2,1,executor_cores,
80,5,3,198,2,2,num_executors,
81,5,3,199,2,3,executor_memory,
82,6,2,67,1,1,K,BisectingKMeans
83,6,2,68,1,2,Seed,BisectingKMeans
84,6,2,69,1,3,PredictionCol,BisectingKMeans
85,6,2,70,1,4,FeaturesCol,BisectingKMeans
86,6,2,71,1,5,maxInter,BisectingKMeans
87,6,2,72,1,6,minDivisibleClusterSize,BisectingKMeans
